task id session trial condition trialxcondition perceived_liking perceived_intensity EMG
hedonic 04 two 14 neutral 5 50.000000 13.559322 0.000354
hedonic 04 two 15 neutral 6 44.067797 16.949153 0.000366
hedonic 04 two 16 empty 4 50.000000 12.711864 0.000357
hedonic 04 two 17 empty 5 50.000000 12.711864 0.000327
hedonic 04 two 18 empty 6 50.000000 12.711864 0.000304
hedonic 04 two 19 chocolate 7 74.576271 61.016949 0.000351
hedonic 04 two 20 chocolate 8 55.932203 54.237288 0.000309
hedonic 04 two 21 chocolate 9 50.000000 12.711864 0.000370
hedonic 04 two 22 empty 7 50.000000 14.406780 0.000346
hedonic 04 two 23 empty 8 50.000000 12.711864 0.000341
hedonic 04 two 24 empty 9 50.000000 12.711864 0.000312
hedonic 04 two 25 neutral 7 45.762712 29.661017 0.000388
hedonic 04 two 26 neutral 8 50.000000 14.406780 0.000359
hedonic 04 two 27 neutral 9 46.610169 15.254237 0.000361
hedonic 04 two 28 neutral 10 51.694915 13.559322 0.000291
hedonic 04 two 29 neutral 11 50.000000 15.254237 0.000349
hedonic 04 two 30 neutral 12 49.152542 16.949153 0.000313
hedonic 04 two 31 empty 10 50.000000 12.711864 0.000333
hedonic 04 two 32 empty 11 50.000000 12.711864 0.000323
hedonic 04 two 33 empty 12 50.000000 12.711864 0.000349
hedonic 04 two 34 chocolate 10 80.508475 72.033898 0.000318
hedonic 04 two 35 chocolate 11 68.644068 56.779661 0.000356
hedonic 04 two 36 chocolate 12 59.322034 16.101695 0.000360
hedonic 04 two 37 neutral 13 39.830508 49.152542 0.000468
hedonic 04 two 38 neutral 14 36.440678 16.949153 0.000395
hedonic 04 two 39 neutral 15 50.000000 14.406780 0.000446
hedonic 04 two 40 empty 13 50.000000 12.711864 0.000363
hedonic 04 two 41 empty 14 50.000000 12.711864 0.000396
hedonic 04 two 42 empty 15 50.000000 12.711864 0.000433
hedonic 04 two 43 chocolate 13 54.237288 16.949153 0.000378
hedonic 04 two 44 chocolate 14 71.186441 22.033898 0.000406
hedonic 04 two 45 chocolate 15 59.322034 13.559322 0.000456
hedonic 04 two 46 empty 16 50.000000 12.711864 0.000347
hedonic 04 two 47 empty 17 50.000000 12.711864 0.000360
hedonic 04 two 48 empty 18 50.000000 12.711864 0.000332
hedonic 04 two 49 neutral 16 25.423729 76.271186 0.000358
hedonic 04 two 50 neutral 17 40.677966 17.796610 0.000439
hedonic 04 two 51 neutral 18 44.915254 14.406780 0.000355
hedonic 04 two 52 chocolate 16 66.101695 19.491525 0.000397
hedonic 04 two 53 chocolate 17 72.033898 35.593220 0.000310
hedonic 04 two 54 chocolate 18 52.542373 13.559322 0.000400
hedonic 05 two 1 chocolate 1 50.000000 12.711864 0.000165
hedonic 05 two 2 chocolate 2 36.440678 12.711864 0.000124
hedonic 05 two 3 chocolate 3 72.881356 37.288136 0.000171
hedonic 05 two 4 neutral 1 21.186441 87.288136 0.000153
hedonic 05 two 5 neutral 2 22.033898 38.135593 0.000169
hedonic 05 two 6 neutral 3 50.000000 17.796610 0.000142
hedonic 05 two 7 empty 1 50.000000 12.711864 0.000140
hedonic 05 two 8 empty 2 50.000000 12.711864 0.000091
hedonic 05 two 9 empty 3 63.559322 38.135593 0.000139
hedonic 05 two 10 neutral 4 26.271186 71.186441 0.000130
hedonic 05 two 11 neutral 5 36.440678 15.254237 0.000161
hedonic 05 two 12 neutral 6 27.966102 77.966102 0.000132
hedonic 05 two 13 empty 4 50.000000 12.711864 0.000165
hedonic 05 two 14 empty 5 50.000000 12.711864 0.000131
hedonic 05 two 15 empty 6 50.000000 12.711864 0.000148
hedonic 05 two 16 chocolate 4 75.423729 61.864407 0.000137
hedonic 05 two 17 chocolate 5 61.016949 37.288136 0.000133
hedonic 05 two 18 chocolate 6 68.644068 38.135593 0.000151
hedonic 05 two 19 neutral 7 25.423729 81.355932 0.000120
