task id session trial rewarded_response n_grips
instrumental_learning 24 one 9 0 4.000000
instrumental_learning 24 one 10 1 5.000000
instrumental_learning 24 one 11 2 7.000000
instrumental_learning 24 one 12 1 5.000000
instrumental_learning 24 one 13 2 7.000000
instrumental_learning 24 one 14 1 5.000000
instrumental_learning 24 one 15 2 6.000000
instrumental_learning 24 one 16 2 6.000000
instrumental_learning 24 one 17 2 6.000000
instrumental_learning 24 one 18 1 4.000000
instrumental_learning 24 one 19 2 6.000000
instrumental_learning 24 one 20 1 5.000000
instrumental_learning 24 one 21 2 6.000000
instrumental_learning 24 one 22 1 6.000000
instrumental_learning 24 one 23 2 6.000000
instrumental_learning 24 one 24 1 5.000000
instrumental_learning 25 one 1 2 5.000000
instrumental_learning 25 one 2 2 9.000000
instrumental_learning 25 one 3 2 7.000000
instrumental_learning 25 one 4 2 9.000000
instrumental_learning 25 one 5 2 8.000000
instrumental_learning 25 one 6 2 8.000000
instrumental_learning 25 one 7 2 7.000000
instrumental_learning 25 one 8 2 9.000000
instrumental_learning 25 one 9 2 8.000000
instrumental_learning 25 one 10 2 8.000000
instrumental_learning 25 one 11 2 8.000000
instrumental_learning 25 one 12 2 9.000000
instrumental_learning 25 one 13 2 10.000000
instrumental_learning 25 one 14 2 9.000000
instrumental_learning 25 one 15 2 7.000000
instrumental_learning 25 one 16 2 9.000000
instrumental_learning 25 one 17 2 8.000000
instrumental_learning 25 one 18 2 8.000000
instrumental_learning 25 one 19 2 9.000000
instrumental_learning 25 one 20 2 9.000000
instrumental_learning 25 one 21 2 7.000000
instrumental_learning 25 one 22 2 10.000000
instrumental_learning 25 one 23 2 9.000000
instrumental_learning 25 one 24 2 9.000000
instrumental_learning 26 one 1 1 8.000000
instrumental_learning 26 one 2 2 9.000000
instrumental_learning 26 one 3 2 7.000000
instrumental_learning 26 one 4 2 8.000000
instrumental_learning 26 one 5 1 6.000000
instrumental_learning 26 one 6 1 9.000000
instrumental_learning 26 one 7 2 8.000000
instrumental_learning 26 one 8 0 11.000000
instrumental_learning 26 one 9 2 10.000000
instrumental_learning 26 one 10 1 11.000000
instrumental_learning 26 one 11 2 11.000000
instrumental_learning 26 one 12 1 12.000000
instrumental_learning 26 one 13 1 9.000000
instrumental_learning 26 one 14 2 10.000000
instrumental_learning 26 one 15 2 15.000000
instrumental_learning 26 one 16 2 13.000000
instrumental_learning 26 one 17 2 12.000000
instrumental_learning 26 one 18 1 10.000000
instrumental_learning 26 one 19 2 11.000000
instrumental_learning 26 one 20 2 10.000000
instrumental_learning 26 one 21 2 15.000000
instrumental_learning 26 one 22 2 15.000000
instrumental_learning 26 one 23 1 15.000000
instrumental_learning 26 one 24 2 13.000000
