task id session trial condition trialxcondition perceived_liking perceived_intensity
hedonic 10 one 34 neutral 28 50.000000 12.711864
hedonic 10 one 35 neutral 29 50.000000 12.711864
hedonic 10 one 36 neutral 30 50.000000 12.711864
hedonic 10 one 37 neutral 31 58.474576 67.796610
hedonic 10 one 38 neutral 32 50.000000 52.542373
hedonic 10 one 39 neutral 33 44.915254 50.000000
hedonic 11 one 1 neutral 1 66.949153 62.711864
hedonic 11 one 2 neutral 2 65.254237 62.711864
hedonic 11 one 3 neutral 3 72.033898 50.000000
hedonic 11 one 4 neutral 4 52.542373 72.881356
hedonic 11 one 5 neutral 5 59.322034 72.881356
hedonic 11 one 6 neutral 6 71.186441 74.576271
hedonic 11 one 7 neutral 7 50.000000 54.237288
hedonic 11 one 8 neutral 8 47.457627 57.627119
hedonic 11 one 9 neutral 9 43.220339 57.627119
hedonic 11 one 10 neutral 10 56.779661 31.355932
hedonic 11 one 11 neutral 11 53.389831 33.050847
hedonic 11 one 12 neutral 12 50.000000 27.118644
hedonic 11 one 13 chocolate 1 64.406780 59.322034
hedonic 11 one 14 chocolate 2 66.949153 62.711864
hedonic 11 one 15 chocolate 3 65.254237 61.016949
hedonic 11 one 16 neutral 13 31.355932 77.118644
hedonic 11 one 17 neutral 14 30.508475 79.661017
hedonic 11 one 18 neutral 15 30.508475 70.338983
hedonic 11 one 19 neutral 16 51.694915 23.728814
hedonic 11 one 20 neutral 17 50.000000 16.101695
hedonic 11 one 21 neutral 18 50.000000 13.559322
hedonic 11 one 22 neutral 19 43.220339 67.796610
hedonic 11 one 23 neutral 20 50.000000 65.254237
hedonic 11 one 24 neutral 21 46.610169 70.338983
hedonic 11 one 25 neutral 22 57.627119 64.406780
hedonic 11 one 26 neutral 23 50.000000 66.949153
hedonic 11 one 27 neutral 24 50.000000 27.966102
hedonic 11 one 28 neutral 25 37.288136 56.779661
hedonic 11 one 29 neutral 26 33.898305 57.627119
hedonic 11 one 30 neutral 27 45.762712 55.932203
hedonic 11 one 31 neutral 28 66.101695 58.474576
hedonic 11 one 32 neutral 29 72.033898 63.559322
hedonic 11 one 33 neutral 30 67.796610 46.610169
hedonic 11 one 34 neutral 31 44.915254 57.627119
hedonic 11 one 35 neutral 32 49.152542 52.542373
hedonic 11 one 36 neutral 33 44.067797 39.830508
hedonic 11 one 37 empty 1 50.000000 22.881356
hedonic 11 one 38 empty 2 50.000000 17.796610
hedonic 11 one 39 empty 3 50.000000 12.711864
hedonic 12 one 1 neutral 1 68.644068 64.406780
hedonic 12 one 2 neutral 2 55.932203 61.016949
hedonic 12 one 3 neutral 3 55.084746 60.169492
hedonic 12 one 4 neutral 4 55.932203 55.084746
hedonic 12 one 5 neutral 5 54.237288 54.237288
hedonic 12 one 6 neutral 6 53.389831 53.389831
hedonic 12 one 7 neutral 7 51.694915 52.542373
hedonic 12 one 8 neutral 8 50.847458 51.694915
hedonic 12 one 9 neutral 9 50.000000 46.610169
hedonic 12 one 10 neutral 10 65.254237 65.254237
hedonic 12 one 11 neutral 11 55.932203 61.864407
hedonic 12 one 12 neutral 12 63.559322 68.644068
hedonic 12 one 13 neutral 13 44.067797 45.762712
hedonic 12 one 14 neutral 14 44.915254 44.067797
hedonic 12 one 15 neutral 15 38.135593 36.440678
hedonic 12 one 16 neutral 16 38.135593 66.101695
hedonic 12 one 17 neutral 17 38.135593 66.101695
hedonic 12 one 18 neutral 18 21.186441 80.508475
hedonic 12 one 19 neutral 19 29.661017 67.796610
hedonic 12 one 20 neutral 20 24.576271 72.881356
hedonic 12 one 21 neutral 21 13.559322 84.745763
hedonic 12 one 22 neutral 22 38.135593 63.559322
hedonic 12 one 23 neutral 23 34.745763 67.796610
hedonic 12 one 24 neutral 24 35.593220 66.101695
hedonic 12 one 25 neutral 25 50.000000 58.474576
hedonic 12 one 26 neutral 26 46.610169 57.627119
hedonic 12 one 27 neutral 27 47.457627 61.016949
hedonic 12 one 28 neutral 28 54.237288 63.559322
hedonic 12 one 29 neutral 29 66.101695 69.491525
hedonic 12 one 30 neutral 30 85.593220 65.254237
hedonic 12 one 31 neutral 31 50.000000 51.694915
hedonic 12 one 32 neutral 32 46.610169 54.237288
hedonic 12 one 33 neutral 33 50.000000 42.372881
hedonic 12 one 34 chocolate 1 77.966102 63.559322
hedonic 12 one 35 chocolate 2 85.593220 71.186441
hedonic 12 one 36 chocolate 3 79.661017 64.406780
hedonic 12 one 37 empty 1 50.000000 16.101695
hedonic 12 one 38 empty 2 50.000000 12.711864
hedonic 12 one 39 empty 3 50.000000 12.711864
hedonic 13 one 1 neutral 1 41.525424 60.169492
hedonic 13 one 2 neutral 2 57.627119 50.000000
hedonic 13 one 3 neutral 3 53.389831 55.932203
hedonic 13 one 4 chocolate 1 76.271186 72.033898
hedonic 13 one 5 chocolate 2 72.881356 71.186441
hedonic 13 one 6 chocolate 3 73.728814 70.338983
hedonic 13 one 7 empty 1 55.932203 51.694915
hedonic 13 one 8 empty 2 50.000000 18.644068
hedonic 13 one 9 empty 3 50.000000 20.338983
hedonic 13 one 10 neutral 4 44.067797 72.881356
hedonic 13 one 11 neutral 5 35.593220 68.644068
hedonic 13 one 12 neutral 6 55.084746 73.728814
hedonic 13 one 13 neutral 7 55.932203 83.898305
hedonic 13 one 14 neutral 8 54.237288 83.050847
hedonic 13 one 15 neutral 9 32.203390 79.661017
hedonic 13 one 16 neutral 10 31.355932 80.508475
hedonic 13 one 17 neutral 11 32.203390 82.203390
hedonic 13 one 18 neutral 12 31.355932 83.050847
hedonic 13 one 19 neutral 13 56.779661 83.050847
hedonic 13 one 20 neutral 14 43.220339 79.661017
hedonic 13 one 21 neutral 15 40.677966 80.508475
hedonic 13 one 22 neutral 16 19.491525 87.288136
hedonic 13 one 23 neutral 17 17.796610 87.288136
hedonic 13 one 24 neutral 18 22.881356 87.288136
hedonic 13 one 25 neutral 19 44.067797 79.661017
hedonic 13 one 26 neutral 20 39.830508 74.576271
hedonic 13 one 27 neutral 21 32.203390 87.288136
hedonic 13 one 28 neutral 22 55.932203 78.813559
hedonic 13 one 29 neutral 23 47.457627 73.728814
hedonic 13 one 30 neutral 24 33.898305 67.796610
hedonic 13 one 31 neutral 25 44.067797 67.796610
hedonic 13 one 32 neutral 26 53.389831 66.101695
hedonic 13 one 33 neutral 27 50.000000 68.644068
hedonic 13 one 34 neutral 28 12.711864 87.288136
hedonic 13 one 35 neutral 29 12.711864 87.288136
hedonic 13 one 36 neutral 30 14.406780 87.288136
hedonic 13 one 37 neutral 31 55.932203 80.508475
hedonic 13 one 38 neutral 32 50.000000 87.288136
hedonic 13 one 39 neutral 33 50.000000 87.288136
hedonic 14 one 1 neutral 1 59.322034 38.983051
hedonic 14 one 2 neutral 2 36.440678 62.711864
hedonic 14 one 3 neutral 3 50.000000 12.711864
hedonic 14 one 4 neutral 4 38.135593 27.966102
hedonic 14 one 5 neutral 5 50.000000 12.711864
hedonic 14 one 6 neutral 6 44.915254 23.728814
hedonic 14 one 7 empty 1 50.000000 12.711864
hedonic 14 one 8 empty 2 50.847458 16.101695
hedonic 14 one 9 empty 3 50.000000 12.711864
hedonic 14 one 10 neutral 7 22.033898 70.338983
hedonic 14 one 11 neutral 8 37.288136 40.677966
hedonic 14 one 12 neutral 9 29.661017 36.440678
hedonic 14 one 13 neutral 10 12.711864 63.559322
hedonic 14 one 14 neutral 11 12.711864 22.881356
hedonic 14 one 15 neutral 12 50.000000 12.711864
hedonic 14 one 16 neutral 13 43.220339 44.067797
hedonic 14 one 17 neutral 14 51.694915 27.966102
hedonic 14 one 18 neutral 15 50.000000 12.711864
hedonic 14 one 19 neutral 16 70.338983 55.932203
hedonic 14 one 20 neutral 17 72.033898 55.932203
hedonic 14 one 21 neutral 18 62.711864 33.050847
hedonic 14 one 22 neutral 19 12.711864 59.322034
hedonic 14 one 23 neutral 20 15.254237 72.033898
hedonic 14 one 24 neutral 21 22.033898 33.898305
hedonic 14 one 25 neutral 22 50.000000 55.932203
hedonic 14 one 26 neutral 23 63.559322 40.677966
hedonic 14 one 27 neutral 24 52.542373 64.406780
hedonic 14 one 28 neutral 25 50.000000 55.932203
hedonic 14 one 29 neutral 26 45.762712 23.728814
hedonic 14 one 30 neutral 27 48.305085 21.186441
hedonic 14 one 31 neutral 28 67.796610 74.576271
hedonic 14 one 32 neutral 29 80.508475 83.898305
hedonic 14 one 33 neutral 30 75.423729 44.067797
