task id session trial condition trialxcondition n_grips reward
Partial_Extinction 07 two 9 None 9 11 1
PIT 07 two 10 Baseline 1 7 0
PIT 07 two 11 Baseline 2 9 0
PIT 07 two 12 Baseline 3 9 0
PIT 07 two 13 CSminus 1 8 0
PIT 07 two 14 CSminus 2 9 0
PIT 07 two 15 CSminus 3 10 0
PIT 07 two 16 CSplus 1 8 0
PIT 07 two 17 CSplus 2 8 0
PIT 07 two 18 CSplus 3 9 0
PIT 07 two 19 Baseline 4 7 0
PIT 07 two 20 Baseline 5 8 0
PIT 07 two 21 Baseline 6 9 0
PIT 07 two 22 CSplus 4 6 0
PIT 07 two 23 CSplus 5 1 0
PIT 07 two 24 CSplus 6 5 0
PIT 07 two 25 CSminus 4 8 0
PIT 07 two 26 CSminus 5 5 0
PIT 07 two 27 CSminus 6 5 0
PIT 07 two 28 Baseline 7 4 0
PIT 07 two 29 Baseline 8 4 0
PIT 07 two 30 Baseline 9 3 0
PIT 07 two 31 CSminus 7 8 0
PIT 07 two 32 CSminus 8 6 0
PIT 07 two 33 CSminus 9 6 0
PIT 07 two 34 CSplus 7 8 0
PIT 07 two 35 CSplus 8 7 0
PIT 07 two 36 CSplus 9 3 0
PIT 07 two 37 CSminus 10 3 0
PIT 07 two 38 CSminus 11 5 0
PIT 07 two 39 CSminus 12 0 0
PIT 07 two 40 Baseline 10 0 0
PIT 07 two 41 Baseline 11 1 0
PIT 07 two 42 Baseline 12 0 0
PIT 07 two 43 CSplus 10 1 0
PIT 07 two 44 CSplus 11 2 0
PIT 07 two 45 CSplus 12 1 0
PIT 07 two 46 CSplus 13 1 0
PIT 07 two 47 CSplus 14 1 0
PIT 07 two 48 CSplus 15 0 0
PIT 07 two 49 CSminus 13 0 0
PIT 07 two 50 CSminus 14 0 0
PIT 07 two 51 CSminus 15 0 0
PIT 07 two 52 Baseline 13 1 0
PIT 07 two 53 Baseline 14 0 0
PIT 07 two 54 Baseline 15 0 0
Reminder 09 two 1 None 1 10 1
Reminder 09 two 2 None 2 13 2
Reminder 09 two 3 None 3 13 2
Partial_Extinction 09 two 4 None 4 14 1
Partial_Extinction 09 two 5 None 5 12 1
Partial_Extinction 09 two 6 None 6 13 1
Partial_Extinction 09 two 7 None 7 13 1
Partial_Extinction 09 two 8 None 8 11 1
Partial_Extinction 09 two 9 None 9 12 1
PIT 09 two 10 Baseline 1 13 0
PIT 09 two 11 Baseline 2 14 0
PIT 09 two 12 Baseline 3 13 0
PIT 09 two 13 CSminus 1 13 0
PIT 09 two 14 CSminus 2 13 0
PIT 09 two 15 CSminus 3 14 0
