task id session trial condition trialxcondition RT accuracy liking_ratings rounds
pavlovian_learning 03 one 68 CSplus 35 0.387208 1 36.440678 2
pavlovian_learning 03 one 69 CSplus 36 0.265914 1 36.440678 3
pavlovian_learning 03 one 70 CSminus 34 0.311076 1 50.000000 1
pavlovian_learning 03 one 71 CSminus 35 0.496950 1 50.000000 2
pavlovian_learning 03 one 72 CSminus 36 0.334454 1 50.000000 3
pavlovian_learning 03 one 73 CSplus 37 0.336284 1 36.440678 1
pavlovian_learning 03 one 74 CSplus 38 0.291007 1 36.440678 2
pavlovian_learning 03 one 75 CSplus 39 0.351348 1 36.440678 3
pavlovian_learning 03 one 76 CSminus 37 0.265708 1 50.000000 1
pavlovian_learning 03 one 77 CSminus 38 0.306373 1 50.000000 2
pavlovian_learning 03 one 78 CSminus 39 0.288793 1 50.000000 3
pavlovian_learning 03 one 79 CSplus 40 0.342942 1 36.440678 1
pavlovian_learning 03 one 80 CSplus 41 0.342084 1 36.440678 2
pavlovian_learning 03 one 81 CSplus 42 0.315579 1 36.440678 3
pavlovian_learning 03 one 82 CSminus 40 0.272775 1 50.000000 1
pavlovian_learning 03 one 83 CSminus 41 0.291510 1 50.000000 2
pavlovian_learning 03 one 84 CSminus 42 0.342186 1 50.000000 3
pavlovian_learning 03 one 85 CSplus 43 0.364201 1 36.440678 1
pavlovian_learning 03 one 86 CSplus 44 0.315930 1 36.440678 2
pavlovian_learning 03 one 87 CSplus 45 0.305341 1 36.440678 3
pavlovian_learning 03 one 88 CSminus 43 0.300497 1 50.000000 1
pavlovian_learning 03 one 89 CSminus 44 0.308156 1 50.000000 2
pavlovian_learning 03 one 90 CSminus 45 0.272703 1 50.000000 3
pavlovian_learning 03 one 91 CSplus 46 0.299036 1 36.440678 1
pavlovian_learning 03 one 92 CSplus 47 0.341431 1 36.440678 2
pavlovian_learning 03 one 93 CSplus 48 0.328983 1 36.440678 3
pavlovian_learning 03 one 94 CSminus 46 0.309770 1 50.000000 1
pavlovian_learning 03 one 95 CSminus 47 0.364855 1 50.000000 2
pavlovian_learning 03 one 96 CSminus 48 0.277660 1 50.000000 3
pavlovian_learning 03 one 97 CSplus 49 0.373710 1 36.440678 1
pavlovian_learning 03 one 98 CSplus 50 0.306217 1 36.440678 2
pavlovian_learning 03 one 99 CSplus 51 0.445894 1 36.440678 3
pavlovian_learning 03 one 100 CSminus 49 0.362090 1 50.000000 1
pavlovian_learning 03 one 101 CSminus 50 0.280614 1 50.000000 2
pavlovian_learning 03 one 102 CSminus 51 0.381662 1 50.000000 3
pavlovian_learning 03 one 103 CSplus 52 0.374751 1 36.440678 1
pavlovian_learning 03 one 104 CSplus 53 0.294418 1 36.440678 2
pavlovian_learning 03 one 105 CSplus 54 0.310927 1 36.440678 3
pavlovian_learning 03 one 106 CSminus 52 0.336848 1 50.000000 1
pavlovian_learning 03 one 107 CSminus 53 0.434136 1 50.000000 2
pavlovian_learning 03 one 108 CSminus 54 0.280542 1 50.000000 3
pavlovian_learning 03 one 109 Baseline 0 NaN NaN 50.847458 NaN
pavlovian_learning 04 one 1 CSplus 1 0.329793 1 87.288136 1
pavlovian_learning 04 one 2 CSplus 2 0.313604 1 87.288136 2
pavlovian_learning 04 one 3 CSplus 3 0.305061 1 87.288136 3
pavlovian_learning 04 one 4 CSminus 1 0.315937 1 20.338983 1
pavlovian_learning 04 one 5 CSminus 2 0.450805 1 20.338983 2
pavlovian_learning 04 one 6 CSminus 3 0.258258 1 20.338983 3
pavlovian_learning 04 one 7 CSplus 4 0.379426 1 87.288136 1
pavlovian_learning 04 one 8 CSplus 5 0.418023 1 87.288136 2
pavlovian_learning 04 one 9 CSplus 6 0.275738 1 87.288136 3
pavlovian_learning 04 one 10 CSminus 4 0.308045 1 20.338983 1
pavlovian_learning 04 one 11 CSminus 5 0.304095 1 20.338983 2
pavlovian_learning 04 one 12 CSminus 6 0.275436 1 20.338983 3
pavlovian_learning 04 one 13 CSplus 7 0.355377 1 87.288136 1
pavlovian_learning 04 one 14 CSplus 8 0.353096 1 87.288136 2
pavlovian_learning 04 one 15 CSplus 9 0.284107 1 87.288136 3
pavlovian_learning 04 one 16 CSminus 7 0.327736 1 20.338983 1
pavlovian_learning 04 one 17 CSminus 8 0.240055 1 20.338983 2
pavlovian_learning 04 one 18 CSminus 9 0.244717 1 20.338983 3
pavlovian_learning 04 one 19 CSplus 10 0.386990 1 87.288136 1
pavlovian_learning 04 one 20 CSplus 11 0.263753 1 87.288136 2
pavlovian_learning 04 one 21 CSplus 12 0.360477 1 87.288136 3
pavlovian_learning 04 one 22 CSminus 10 0.271885 1 20.338983 1
pavlovian_learning 04 one 23 CSminus 11 0.265788 1 20.338983 2
pavlovian_learning 04 one 24 CSminus 12 0.255238 1 20.338983 3
pavlovian_learning 04 one 25 CSplus 13 0.192081 1 87.288136 1
pavlovian_learning 04 one 26 CSplus 14 0.328780 1 87.288136 2
pavlovian_learning 04 one 27 CSplus 15 0.324510 1 87.288136 3
pavlovian_learning 04 one 28 CSminus 13 0.018508 1 20.338983 1
pavlovian_learning 04 one 29 CSminus 14 0.263320 1 20.338983 2
pavlovian_learning 04 one 30 CSminus 15 0.244154 1 20.338983 3
pavlovian_learning 04 one 31 CSplus 16 0.265631 1 87.288136 1
pavlovian_learning 04 one 32 CSplus 17 0.224303 1 87.288136 2
pavlovian_learning 04 one 33 CSplus 18 0.325655 1 87.288136 3
pavlovian_learning 04 one 34 CSminus 16 0.345272 1 20.338983 1
pavlovian_learning 04 one 35 CSminus 17 0.298688 1 20.338983 2
pavlovian_learning 04 one 36 CSminus 18 0.284235 1 20.338983 3
pavlovian_learning 04 one 37 CSplus 19 0.272208 1 87.288136 1
pavlovian_learning 04 one 38 CSplus 20 0.287198 1 87.288136 2
pavlovian_learning 04 one 39 CSplus 21 0.303200 1 87.288136 3
pavlovian_learning 04 one 40 CSminus 19 0.243749 1 20.338983 1
pavlovian_learning 04 one 41 CSminus 20 0.305912 1 20.338983 2
pavlovian_learning 04 one 42 CSminus 21 0.262165 1 20.338983 3
pavlovian_learning 04 one 43 CSplus 22 0.311798 1 87.288136 1
pavlovian_learning 04 one 44 CSplus 23 0.300442 1 87.288136 2
pavlovian_learning 04 one 45 CSplus 24 0.338518 1 87.288136 3
pavlovian_learning 04 one 46 CSminus 22 0.322610 1 20.338983 1
pavlovian_learning 04 one 47 CSminus 23 0.316738 1 20.338983 2
pavlovian_learning 04 one 48 CSminus 24 0.206684 1 20.338983 3
pavlovian_learning 04 one 49 CSplus 25 0.242185 1 87.288136 1
pavlovian_learning 04 one 50 CSplus 26 0.603278 1 87.288136 2
pavlovian_learning 04 one 51 CSplus 27 0.268691 1 87.288136 3
pavlovian_learning 04 one 52 CSminus 25 0.363968 1 20.338983 1
pavlovian_learning 04 one 53 CSminus 26 0.249602 1 20.338983 2
pavlovian_learning 04 one 54 CSminus 27 0.237301 1 20.338983 3
pavlovian_learning 04 one 55 CSplus 28 0.274671 1 87.288136 1
pavlovian_learning 04 one 56 CSplus 29 0.429102 1 87.288136 2
pavlovian_learning 04 one 57 CSplus 30 0.432638 1 87.288136 3
pavlovian_learning 04 one 58 CSminus 28 0.280383 1 20.338983 1
pavlovian_learning 04 one 59 CSminus 29 0.249502 1 20.338983 2
pavlovian_learning 04 one 60 CSminus 30 0.294985 1 20.338983 3
pavlovian_learning 04 one 61 CSplus 31 0.366151 1 87.288136 1
pavlovian_learning 04 one 62 CSplus 32 0.328862 1 87.288136 2
pavlovian_learning 04 one 63 CSplus 33 0.319747 1 87.288136 3
pavlovian_learning 04 one 64 CSminus 31 0.291087 1 20.338983 1
pavlovian_learning 04 one 65 CSminus 32 0.293169 1 20.338983 2
pavlovian_learning 04 one 66 CSminus 33 0.438974 1 20.338983 3
pavlovian_learning 04 one 67 CSplus 34 0.275818 1 87.288136 1
pavlovian_learning 04 one 68 CSplus 35 0.274726 1 87.288136 2
pavlovian_learning 04 one 69 CSplus 36 0.381806 1 87.288136 3
pavlovian_learning 04 one 70 CSminus 34 0.305153 1 20.338983 1
pavlovian_learning 04 one 71 CSminus 35 0.302724 1 20.338983 2
pavlovian_learning 04 one 72 CSminus 36 0.408417 1 20.338983 3
pavlovian_learning 04 one 73 CSplus 37 0.275383 1 87.288136 1
pavlovian_learning 04 one 74 CSplus 38 0.317603 1 87.288136 2
pavlovian_learning 04 one 75 CSplus 39 0.398423 1 87.288136 3
pavlovian_learning 04 one 76 CSminus 37 0.289476 1 20.338983 1
