Subject	Word	POA	Voicing	VOT
s5	tech	alveolar	voiceless	0.0449
s5	deck	alveolar	voiced	0.0182
s5	deck	alveolar	voiced	0.0114
s5	deck	alveolar	voiced	0.0134
s5	pin	bilabial	voiceless	0.083
s5	pin	bilabial	voiceless	0.0495
s5	pin	bilabial	voiceless	0.0308
s5	bin	bilabial	voiced	0.0093
s5	bin	bilabial	voiced	0.01
s5	gob	velar	voiced	0.0226
s5	cut	velar	voiceless	0.052
s5	gut	velar	voiced	0.0326
s5	pad	bilabial	voiceless	0.0994
s5	pad	bilabial	voiceless	0.0662
s5	pad	bilabial	voiceless	0.0635
s5	pad	bilabial	voiceless	0.0507
s5	bad	bilabial	voiced	0.01
s5	bad	bilabial	voiced	0.0095
s5	ton	alveolar	voiceless	0.0689
s5	done	alveolar	voiced	0.0095
s5	bat	bilabial	voiced	0.0059
s5	pat	bilabial	voiceless	0.0111
s5	bat	bilabial	voiced	0.0092
s5	pin	bilabial	voiceless	0.0482
s5	puck	bilabial	voiceless	0.0484
s5	buck	bilabial	voiced	0.017
s5	buck	bilabial	voiced	0.0088
s5	kale	velar	voiceless	0.0859
s5	kale	velar	voiceless	0.0545
s5	gale	velar	voiced	0.0187
s5	gale	velar	voiced	0.0209
s5	gale	velar	voiced	0.0164
s5	bound	bilabial	voiced	0.0286
s5	pound	bilabial	voiceless	0.0153
s5	pound	bilabial	voiceless	0.0254
s5	bound	bilabial	voiced	0.0056
s5	bound	bilabial	voiced	0.0254
s5	touch	alveolar	voiceless	0.0563
s5	touch	alveolar	voiceless	0.0272
s5	dutch	alveolar	voiced	0.0128
s5	dutch	alveolar	voiced	0.0203
s5	pang	bilabial	voiceless	0.0556
s5	pang	bilabial	voiceless	0.0333
s5	pang	bilabial	voiceless	0.0285
s5	bang	bilabial	voiced	0.0072
s5	bang	bilabial	voiced	0.0101
s5	path	bilabial	voiceless	0.054
s5	bath	bilabial	voiced	0.0064
s5	bath	bilabial	voiced	0.0088
s5	cut	velar	voiceless	0.0534
s5	gut	velar	voiced	0.0175
s5	gut	velar	voiced	0.0165
s5	gut	velar	voiced	0.0173
s5	pelt	bilabial	voiceless	0.0332
s5	pelt	bilabial	voiceless	0.0607
s5	pelt	bilabial	voiceless	0.0607
s5	pelt	bilabial	voiceless	0.019
s5	belt	bilabial	voiced	0.0089
s5	belt	bilabial	voiced	0.0108
s5	gob	velar	voiced	0.0257
s5	cob	velar	voiceless	0.0697
s5	but	bilabial	voiced	0.0082
s5	tuck	alveolar	voiceless	0.0192
s5	duck	alveolar	voiced	0.0111
s5	pun	bilabial	voiceless	0.0432
s5	bun	bilabial	voiced	0.0052
